season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2007/08,2008-04-19,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2007/08,2008-04-19,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,MF Maharoof,Feroz Shah Kotla,Delhi
2007/08,2008-04-22,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2007/08,2008-04-23,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-04-26,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-04-27,League,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,wickets,4.0,SM Katich,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2007/08,2008-04-28,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,MS Dhoni,M Chinnaswamy Stadium,Bangalore
2007/08,2008-04-30,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,runs,10.0,GD McGrath,Feroz Shah Kotla,Delhi
2007/08,2008-05-02,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,8.0,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-04,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,29.0,SM Pollock,Dr DY Patil Sports Academy,Mumbai
2007/08,2008-05-04,League,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur
2007/08,2008-05-06,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7.0,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-08,League,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,MS Dhoni,Feroz Shah Kotla,Delhi
2007/08,2008-05-10,League,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,runs,18.0,L Balaji,"MA Chidambaram Stadium, Chepauk",Chennai
2007/08,2008-05-11,League,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,SR Watson,Sawai Mansingh Stadium,Jaipur
2007/08,2008-05-13,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0,Shoaib Akhtar,Eden Gardens,Kolkata
2007/08,2008-05-14,League,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9.0,ST Jayasuriya,Wankhede Stadium,Mumbai
